epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697311834809,2023-10-14T19:30:34.809000,0.0,4.207,-2.012,-0.305
1697311834849,2023-10-14T19:30:34.849000,0.04,3.659,-2.317,0.305
1697311834889,2023-10-14T19:30:34.889000,0.08,3.415,-1.89,1.341
1697311834929,2023-10-14T19:30:34.929000,0.12,5.488,-3.415,2.988
1697311834969,2023-10-14T19:30:34.969000,0.16,7.012,-7.927,3.049
1697311835009,2023-10-14T19:30:35.009000,0.2,5.122,-9.878,3.293
1697311835049,2023-10-14T19:30:35.049000,0.24,5.0,-22.561,3.78
1697311835089,2023-10-14T19:30:35.089000,0.28,-2.012,-16.951,4.39
1697311835129,2023-10-14T19:30:35.129000,0.32,5.61,-23.171,-6.524
1697311835169,2023-10-14T19:30:35.169000,0.36,5.854,-17.866,-15.976
1697311835209,2023-10-14T19:30:35.209000,0.4,-3.415,-22.195,-2.683
1697311835249,2023-10-14T19:30:35.249000,0.44,-6.28,-12.195,2.683
1697311835289,2023-10-14T19:30:35.289000,0.48,-11.89,-1.037,-2.927
1697311835329,2023-10-14T19:30:35.329000,0.52,-17.5,8.354,1.829
1697311835369,2023-10-14T19:30:35.369000,0.56,-20.427,-7.195,2.134
1697311835409,2023-10-14T19:30:35.409000,0.6,-23.11,-25.061,-0.976
1697311835449,2023-10-14T19:30:35.449000,0.64,-23.659,-22.012,-12.012
1697311835489,2023-10-14T19:30:35.489000,0.68,-27.683,2.561,-9.573
1697311835529,2023-10-14T19:30:35.529000,0.72,-6.22,-3.049,-8.171
1697311835569,2023-10-14T19:30:35.569000,0.76,-3.232,-2.561,-6.098
1697311835609,2023-10-14T19:30:35.609000,0.8,-2.134,2.561,-3.841
1697311835649,2023-10-14T19:30:35.649000,0.84,1.28,8.598,-3.171
1697311835689,2023-10-14T19:30:35.689000,0.88,2.439,7.256,-2.561
1697311835729,2023-10-14T19:30:35.729000,0.92,2.744,-5.0,-3.659
1697311835769,2023-10-14T19:30:35.769000,0.96,1.951,-12.012,-4.146
1697311835809,2023-10-14T19:30:35.809000,1.0,-2.561,-10.915,-1.585
1697311835849,2023-10-14T19:30:35.849000,1.04,14.39,-21.037,-0.732
1697311835889,2023-10-14T19:30:35.889000,1.08,-2.195,-9.207,1.768
1697311835929,2023-10-14T19:30:35.929000,1.12,-4.085,-9.634,2.012
1697311835969,2023-10-14T19:30:35.969000,1.16,-0.183,-7.805,0.061
1697311836009,2023-10-14T19:30:36.009000,1.2,-0.732,-3.232,-0.488
1697311836049,2023-10-14T19:30:36.049000,1.24,1.402,-7.256,-0.61
1697311836089,2023-10-14T19:30:36.089000,1.28,-5.976,-4.207,2.988
1697311836129,2023-10-14T19:30:36.129000,1.32,6.159,-10.244,0.549
1697311836169,2023-10-14T19:30:36.169000,1.36,-3.293,0.61,2.134
1697311836209,2023-10-14T19:30:36.209000,1.4,1.829,-5.488,1.463
1697311836249,2023-10-14T19:30:36.249000,1.44,7.927,-15.732,2.317
1697311836289,2023-10-14T19:30:36.289000,1.48,5.549,-3.902,1.585
1697311836329,2023-10-14T19:30:36.329000,1.52,12.439,-2.256,-1.098
1697311836369,2023-10-14T19:30:36.369000,1.56,8.049,2.622,2.195
1697311836409,2023-10-14T19:30:36.409000,1.6,5.61,-0.183,3.902
1697311836449,2023-10-14T19:30:36.449000,1.64,0.427,-1.098,2.866
1697311836489,2023-10-14T19:30:36.489000,1.68,6.646,3.476,2.622
1697311836529,2023-10-14T19:30:36.529000,1.72,4.451,-1.341,4.695
1697311836569,2023-10-14T19:30:36.569000,1.76,9.573,-3.049,2.5
1697311836609,2023-10-14T19:30:36.609000,1.8,8.232,1.951,2.5
1697311836649,2023-10-14T19:30:36.649000,1.84,9.451,4.329,-0.061
1697311836689,2023-10-14T19:30:36.689000,1.88,7.561,12.805,0.549
1697311836729,2023-10-14T19:30:36.729000,1.92,10.488,14.451,-7.622
1697311836769,2023-10-14T19:30:36.769000,1.96,18.415,3.11,-0.549
1697311836809,2023-10-14T19:30:36.809000,2.0,24.085,7.5,0.0
1697311836849,2023-10-14T19:30:36.849000,2.04,34.695,2.012,-1.646
1697311836889,2023-10-14T19:30:36.889000,2.08,41.829,5.976,2.073
1697311836929,2023-10-14T19:30:36.929000,2.12,47.439,2.561,3.476
1697311836969,2023-10-14T19:30:36.969000,2.16,61.768,-16.159,14.451
1697311837009,2023-10-14T19:30:37.009000,2.2,53.78,4.329,17.622
1697311837049,2023-10-14T19:30:37.049000,2.24,61.707,-1.341,17.866
1697311837089,2023-10-14T19:30:37.089000,2.28,48.415,1.646,9.878
1697311837129,2023-10-14T19:30:37.129000,2.32,31.463,-2.256,-2.073
1697311837169,2023-10-14T19:30:37.169000,2.36,15.244,-11.768,-3.963
1697311837209,2023-10-14T19:30:37.209000,2.4,-4.207,4.634,-1.463
1697311837249,2023-10-14T19:30:37.249000,2.44,-10.976,9.817,5.0
1697311837289,2023-10-14T19:30:37.289000,2.48,-12.744,7.256,4.085
1697311837329,2023-10-14T19:30:37.329000,2.52,-21.037,9.024,1.89
1697311837369,2023-10-14T19:30:37.369000,2.56,-22.927,9.939,-1.646
1697311837409,2023-10-14T19:30:37.409000,2.6,-42.073,17.073,-1.829
1697311837449,2023-10-14T19:30:37.449000,2.64,-34.939,-9.878,-4.451
1697311837489,2023-10-14T19:30:37.489000,2.68,-35.305,-15.0,-8.72
1697311837529,2023-10-14T19:30:37.529000,2.72,-38.354,-11.951,-8.537
1697311837569,2023-10-14T19:30:37.569000,2.76,-34.207,-19.268,-9.634
1697311837609,2023-10-14T19:30:37.609000,2.8,-32.012,-16.646,-3.415
1697311837649,2023-10-14T19:30:37.649000,2.84,-28.354,-18.11,-6.22
1697311837689,2023-10-14T19:30:37.689000,2.88,-37.134,-2.256,-7.744
1697311837729,2023-10-14T19:30:37.729000,2.92,-26.524,-14.268,-2.195
1697311837769,2023-10-14T19:30:37.769000,2.96,-18.659,-18.72,1.28
1697311837809,2023-10-14T19:30:37.809000,3.0,-15.244,-5.61,2.073
1697311837849,2023-10-14T19:30:37.849000,3.04,-9.329,-10.061,0.671
1697311837889,2023-10-14T19:30:37.889000,3.08,-22.256,6.646,-1.463
1697311837929,2023-10-14T19:30:37.929000,3.12,-2.134,-9.573,2.683
1697311837969,2023-10-14T19:30:37.969000,3.16,-0.183,-8.049,4.573
1697311838009,2023-10-14T19:30:38.009000,3.2,-5.793,-3.598,5.732
1697311838049,2023-10-14T19:30:38.049000,3.24,-1.463,-9.207,-2.744
1697311838089,2023-10-14T19:30:38.089000,3.28,0.305,-8.598,2.927
1697311838129,2023-10-14T19:30:38.129000,3.32,3.598,-10.427,3.537
1697311838169,2023-10-14T19:30:38.169000,3.36,-7.622,1.098,-1.463
1697311838209,2023-10-14T19:30:38.209000,3.4,-13.537,7.988,-4.939
1697311838249,2023-10-14T19:30:38.249000,3.44,24.817,-43.72,-70.427
1697311838289,2023-10-14T19:30:38.289000,3.48,34.085,-44.512,-67.378
1697311838329,2023-10-14T19:30:38.329000,3.52,9.207,-9.756,-5.061
1697311838369,2023-10-14T19:30:38.369000,3.56,-11.951,31.585,14.085
1697311838409,2023-10-14T19:30:38.409000,3.6,-7.927,16.646,2.439
1697311838449,2023-10-14T19:30:38.449000,3.64,-31.463,54.573,39.939
1697311838489,2023-10-14T19:30:38.489000,3.68,25.61,-24.024,20.976
1697311838529,2023-10-14T19:30:38.529000,3.72,-12.866,-1.585,-7.256
1697311838569,2023-10-14T19:30:38.569000,3.76,14.39,-13.841,11.341
1697311838609,2023-10-14T19:30:38.609000,3.8,14.451,-10.427,10.061
1697311838649,2023-10-14T19:30:38.649000,3.84,-22.927,24.085,10.793
1697311838689,2023-10-14T19:30:38.689000,3.88,8.476,-12.561,10.549
1697311838729,2023-10-14T19:30:38.729000,3.92,-11.341,10.793,8.476
1697311838769,2023-10-14T19:30:38.769000,3.96,-1.829,-3.598,11.707
1697311838809,2023-10-14T19:30:38.809000,4.0,-1.402,-4.329,12.073
1697311838849,2023-10-14T19:30:38.849000,4.04,-0.183,-1.585,8.841
1697311838889,2023-10-14T19:30:38.889000,4.08,-0.244,2.134,12.195
1697311838929,2023-10-14T19:30:38.929000,4.12,6.402,-2.927,7.866
1697311838969,2023-10-14T19:30:38.969000,4.16,10.244,-2.927,-1.768
1697311839009,2023-10-14T19:30:39.009000,4.2,2.561,0.854,-0.183
1697311839049,2023-10-14T19:30:39.049000,4.24,6.159,0.305,0.488
1697311839089,2023-10-14T19:30:39.089000,4.28,4.207,3.232,1.768
1697311839129,2023-10-14T19:30:39.129000,4.32,8.476,-4.573,-1.89
1697311839169,2023-10-14T19:30:39.169000,4.36,5.732,-0.793,-1.524
1697311839209,2023-10-14T19:30:39.209000,4.4,10.427,-0.366,1.22
1697311839249,2023-10-14T19:30:39.249000,4.44,12.256,-1.585,-2.317
1697311839289,2023-10-14T19:30:39.289000,4.48,17.317,-0.915,-2.134
1697311839329,2023-10-14T19:30:39.329000,4.52,22.256,-7.683,-3.659
1697311839369,2023-10-14T19:30:39.369000,4.56,28.72,-2.988,-1.463
1697311839409,2023-10-14T19:30:39.409000,4.6,42.317,-14.512,-0.671
1697311839449,2023-10-14T19:30:39.449000,4.64,50.549,-11.524,2.683
1697311839489,2023-10-14T19:30:39.489000,4.68,53.902,8.11,-4.024
1697311839529,2023-10-14T19:30:39.529000,4.72,53.232,7.134,0.549
1697311839569,2023-10-14T19:30:39.569000,4.76,71.28,-16.402,10.793
1697311839609,2023-10-14T19:30:39.609000,4.8,69.817,3.963,12.988
1697311839649,2023-10-14T19:30:39.649000,4.84,58.963,6.037,4.817
1697311839689,2023-10-14T19:30:39.689000,4.88,22.073,1.707,-7.256
1697311839729,2023-10-14T19:30:39.729000,4.92,-9.451,11.768,-6.463
1697311839769,2023-10-14T19:30:39.769000,4.96,-7.622,-2.317,6.341
